path,kind,rows,best_accuracy,final_accuracy,final_best,final_epoch
prune\log\38.out,out,300,0.24818,0.21817,0.24818,299
prune\log\5001.out,out,300,0.86669,0.84021,0.86669,299
prune\log\7001.out,out,300,0.88841,0.84783,0.88841,299
prune\log\81.out,out,193,0.86775,0.84578,0.86775,192
prune\log\85.out,out,300,0.20358,0.17668,0.20358,299
prune\log\87.out,out,300,0.25531,0.20981,0.25531,299
prune\log\88.out,out,300,0.26998,0.21341,0.26998,299
prune\log\881.out,out,206,0.88423,0.88423,0.88423,205
prune\log\9001.out,out,300,0.89456,0.85742,0.89456,299
prune\log\91.out,out,400,0.42633,0.37206,0.42633,399
prune\log\991.out,out,400,0.40821,0.37296,0.40821,399
prune\log\berlin05.out,out,300,0.77777,0.6502,0.77777,299
prune\log\berlin1.out,out,300,0.77948,0.6566,0.77948,299
prune\log\berlin5.out,out,300,0.7772,0.71915,0.7772,299
prune\log\berlin7.out,out,300,0.76492,0.6625,0.76492,299
prune\log\berlin9.out,out,300,0.7628,0.61703,0.7628,299
prune\log\h00000108.out,out,200,0.8439,0.8225,0.8439,199
prune\log\h000101.out,out,300,0.86636,0.08633,0.86636,299
prune\log\h000102.out,out,300,0.88284,0.08633,0.88284,299
prune\log\h000103.out,out,250,0.88965,0.08633,0.88965,249
prune\log\h000104.out,out,300,0.89374,0.08633,0.89374,299
prune\log\h000105.out,out,238,0.88792,0.88153,0.88792,237
prune\log\h000106.out,out,238,0.88538,0.87686,0.88538,237
prune\log\h00010603.out,out,300,0.2094,0.17389,0.2094,299
prune\log\h0001063.out,out,300,0.20866,0.17193,0.20866,299
prune\log\h000107.out,out,250,0.88505,0.08633,0.88505,249
prune\log\h0001073.out,out,294,0.23457,0.21235,0.23457,299
prune\log\h000108.out,out,250,0.89211,0.08633,0.89211,249
prune\log\h00010803.out,out,300,0.87751,0.87407,0.87751,299
prune\log\h0001083.out,out,300,0.87817,0.87415,0.87817,299
prune\log\h000109.out,out,56,0.85029,0.82848,0.85029,199
prune\log\h00011.out,out,58,0.85964,0.85103,0.85964,199
prune\log\h00108.out,out,100,0.21653,0.16504,0.21653,99
prune\log\h00109.out,out,200,0.8521,0.82693,0.8521,199
prune\log\h0011.out,out,200,0.85939,0.84816,0.85939,199
prune\log\h0108.out,out,200,0.83808,0.81914,0.83808,199
prune\log\h0109.out,out,200,0.84988,0.82504,0.84988,199
