0.15815708736020528,0.800935,0.8272658116784466,0.7846242740746221,0.800935
0.1639163978816418,0.78216,0.8110872077804072,0.7642901584456209,0.800935
0.17401855058047208,0.787735,0.81481684426837,0.7703609589934516,0.800935
0.15848378577594008,0.795769,0.8253731537814776,0.7790399386552664,0.800935
0.12940421244234182,0.777814,0.8070842499900871,0.7596919500761931,0.800935
0.14397069891349654,0.802656,0.8247479131984042,0.7861931052232469,0.802656
0.15853646041804484,0.789948,0.8105731943465179,0.7723516424693276,0.802656
0.1676225130226505,0.781586,0.8114881619155772,0.7636494335764735,0.802656
0.14255910071680386,0.798147,0.8193662631395323,0.7814154522499501,0.802656
0.12456138764790604,0.777568,0.8086101793422696,0.7592491242574241,0.802656
0.12898586468582743,0.79372,0.8215307289130264,0.7765628797195491,0.802656
0.1274734063680922,0.797983,0.8240872762507411,0.7812959350097444,0.802656
0.21550449377365327,0.809297,0.8316432526858516,0.7935285598907691,0.809297
0.12289943370256531,0.788391,0.8184099338309462,0.7709212561271626,0.809297
0.1540638856338651,0.757645,0.7932972239343019,0.7380185609924459,0.809297
0.19824928304787431,0.781832,0.8105913591385103,0.764193666115963,0.809297
0.14596395420559335,0.780684,0.8114620039063295,0.7628776019789738,0.809297
0.13070289081150896,0.819218,0.8444883264819186,0.8042793357265698,0.819218
0.1407586716617761,0.819956,0.8451677491022411,0.8051353980382826,0.819956
0.1277381626868181,0.762237,0.7810960897693915,0.7425699502041592,0.819956
0.14872013576579898,0.813643,0.8372475446484849,0.7983195104683094,0.819956
0.11969694237779366,0.791342,0.8201204272979563,0.7743986638461411,0.819956
0.1199350698819656,0.802656,0.8323900958351064,0.7864722378054854,0.819956
0.10654522051637093,0.805034,0.8279861172038007,0.7888057956019076,0.819956
0.1343991362353724,0.812987,0.826942707008423,0.7973807795421026,0.819956
0.11082415498290839,0.687382,0.7371308631799938,0.6629771164919919,0.819956
